DHSCLUST,Wealth Index,DHSID,longitude,latitude
1,-31881.6087,PH201700000001,122.1098067,6.674652119
2,-2855.375,PH201700000002,122.1320268,6.662255885
3,-57647.04762,PH201700000003,122.1794962,6.621822187
4,-54952.66667,PH201700000004,122.137965,6.485298469
5,-77819.16,PH201700000005,0,0
6,-80701.69565,PH201700000006,121.9160941,6.629457413
7,-62490.53846,PH201700000007,122.1610047,6.592994225
8,-80889.66667,PH201700000008,121.8580435,6.641469154
9,-77994.52,PH201700000009,122.134301,6.651692596
10,-135511.9615,PH201700000010,122.0557833,6.496529272
11,-107304.25,PH201700000011,121.8760488,6.540971095
12,-131172.0833,PH201700000012,122.0239901,6.332519069
13,76253,PH201700000013,121.9957353,6.71590322
14,-32643.82143,PH201700000014,121.9768844,6.701821528
15,-8792.869565,PH201700000015,121.9561083,6.694700467
16,-39917.13043,PH201700000016,121.9502706,6.735684071
17,17931.15789,PH201700000017,121.9620716,6.706627916
18,59813.11111,PH201700000018,122.0021482,6.726349599
19,-58036.77273,PH201700000019,124.1306725,7.51709919
20,-104656.4286,PH201700000020,0,0
21,-75593.73077,PH201700000021,124.1969017,7.578996812
22,-70545.11538,PH201700000022,124.1916366,7.932349209
23,-103012.5,PH201700000023,124.0388827,7.633657493
24,-99201.13889,PH201700000024,124.0491379,7.772362798
25,-78596.53846,PH201700000025,124.1183062,7.55896956
26,-89828.42308,PH201700000026,124.7455154,7.61333202
27,-97502.06667,PH201700000027,124.0697226,7.653298117
28,-63225.86111,PH201700000028,124.0805232,7.822728912
29,-88367.92308,PH201700000029,124.1824149,7.910407756
30,-137765.7241,PH201700000030,124.1630021,7.989235455
31,-65574.53846,PH201700000031,124.3343766,7.283068829
32,-73487.57692,PH201700000032,124.3460589,7.280491652
33,-104029.3793,PH201700000033,123.998412,7.008673216
34,-83074,PH201700000034,124.8835819,6.741738691
35,-103182.5172,PH201700000035,124.7223203,6.848016882
36,-107396.4615,PH201700000036,124.534736,6.948008939
37,-55420.27586,PH201700000037,124.1431493,7.135915724
38,-64695.34615,PH201700000038,124.1335087,6.970836547
39,-164958.9231,PH201700000039,124.1229711,6.947746709
40,-123934.3143,PH201700000040,124.4156874,7.094530629
41,-59945.07692,PH201700000041,124.5307719,6.84057779
42,-101041.8462,PH201700000042,124.8954331,6.744291509
43,842.7692308,PH201700000043,124.2277,7.188975542
44,81560.35,PH201700000044,124.2508881,7.227013004
45,6491.833333,PH201700000045,124.2456319,7.228163132
46,69627.05,PH201700000046,124.2494599,7.204556665
47,-25371.45,PH201700000047,124.2274456,7.188142938
48,-49772.68,PH201700000048,120.9827103,6.023434348
49,-119870.4074,PH201700000049,121.318311,5.968610969
50,-127733.8621,PH201700000050,121.3022582,5.953015064
51,-78682.24,PH201700000051,120.9800511,6.041745959
52,-142176.6923,PH201700000052,120.8486441,5.68078551
53,-167231.5185,PH201700000053,0,0
54,-86696.23077,PH201700000054,120.9896659,6.055320796
55,-149848.1154,PH201700000055,121.1617162,5.994878714
56,-131919.5,PH201700000056,121.1184734,6.017410096
57,-78232.5,PH201700000057,120.792258,5.539765746
58,-150667.5385,PH201700000058,120.9925626,6.196829758
59,-148128.5357,PH201700000059,120.8949879,5.961648502
60,-17651.75,PH201700000060,119.7693168,5.032312683
61,-47601,PH201700000061,119.8383768,5.098032029
62,-105186.8125,PH201700000062,120.2869819,5.215148165
63,-62318.5,PH201700000063,119.8146958,4.900372552
64,-120054.8095,PH201700000064,119.7665788,5.023099852
65,-59755.38095,PH201700000065,119.4805809,4.846972707
66,26319.5,PH201700000066,120.3364494,5.191484855
67,-145664.7222,PH201700000067,119.9106625,5.091490157
68,-111110.15,PH201700000068,120.2303923,5.20102201
69,14871.04762,PH201700000069,119.8058872,4.910802918
70,-101645.3636,PH201700000070,119.5016083,4.742426519
71,-104518.1818,PH201700000071,119.4010005,4.749635118
72,-62593.52941,PH201700000072,120.9130199,17.57054395
73,-18345.16,PH201700000073,120.7156809,17.46600383
74,65167.63636,PH201700000074,120.670525,17.55466178
75,19911.34783,PH201700000075,120.6951336,17.31734564
76,29942,PH201700000076,120.6031878,17.59150823
77,-34387.05,PH201700000077,120.8008379,17.42263694
78,-30335.78261,PH201700000078,120.713105,17.58871041
79,-26637.88,PH201700000079,120.7268802,17.57522435
80,23827.33333,PH201700000080,120.640388,17.58369873
81,-17866.625,PH201700000081,120.5993195,17.39361441
82,61470.95,PH201700000082,120.4947896,17.53199366
83,-46427.04,PH201700000083,120.5204785,17.6522941
84,-31794.94737,PH201700000084,121.3674182,18.18363051
85,-1679.727273,PH201700000085,121.2996874,17.78673938
86,-102830.4545,PH201700000086,121.3775005,17.65943536
87,-34295.63636,PH201700000087,121.4466512,18.23210212
88,-32643.41667,PH201700000088,121.3450376,17.75020759
89,-58278.72,PH201700000089,121.336236,17.78387644
90,-50967.69565,PH201700000090,121.377532,18.30686117
91,-88621.8,PH201700000091,0,0
92,-75633.66667,PH201700000092,121.2053372,17.97884756
93,-55378.13636,PH201700000093,121.2991112,18.20799886
94,-23853.15385,PH201700000094,121.4298594,18.2214234
95,-95034.44,PH201700000095,121.1890008,17.9349909
96,67020.4,PH201700000096,120.6322278,16.39714626
97,86786.75,PH201700000097,120.5521683,16.41114241
98,89351.9,PH201700000098,120.6088341,16.41404201
99,84762.25,PH201700000099,120.586541,16.39918925
100,104324.7,PH201700000100,120.5880835,16.39460034
101,97442.75,PH201700000101,120.592351,16.40611346
102,87923.1,PH201700000102,120.6200261,16.41257974
103,94935.7,PH201700000103,120.6244457,16.42430536
104,65269.69231,PH201700000104,120.6809822,16.46578562
105,61377,PH201700000105,120.5785575,16.44200941
106,258.7692308,PH201700000106,120.8378946,16.65431682
107,74435.48148,PH201700000107,120.5520525,16.42873235
108,114194.5769,PH201700000108,120.5873503,16.44572263
109,83401.23077,PH201700000109,120.578956,16.4474683
110,50898.65385,PH201700000110,120.6828369,16.45676231
111,49818.57692,PH201700000111,120.7829794,16.86525828
112,-67146.76923,PH201700000112,120.7233716,16.82493801
113,60018.57692,PH201700000113,120.6143449,16.35289462
114,64846.5,PH201700000114,120.6650487,16.42745164
115,64637.69231,PH201700000115,120.5883882,16.44483317
116,-20793.07692,PH201700000116,121.5594731,16.92235316
117,-91277.92308,PH201700000117,121.1592259,16.95936949
118,-91392.23077,PH201700000118,121.1333675,16.98518467
119,87068.61538,PH201700000119,121.081862,16.78407556
120,-49488.73077,PH201700000120,121.0836518,16.82510235
121,-54604.46154,PH201700000121,0,0
122,-24135.88462,PH201700000122,121.4630629,16.93835215
123,-62427.80769,PH201700000123,121.1114202,16.91423255
124,-70464,PH201700000124,121.1634653,16.96062766
125,106722.0769,PH201700000125,121.1365226,16.80484179
126,-18590.07692,PH201700000126,121.0943624,16.72217496
127,-23317.96154,PH201700000127,121.1487884,16.78228387
128,27533.76,PH201700000128,121.4579239,17.45134335
129,7508.315789,PH201700000129,121.589726,17.52785122
130,-63780.52174,PH201700000130,121.2328698,17.49708154
131,-83963.45455,PH201700000131,121.1518628,17.30571702
132,-46424.5,PH201700000132,121.1661255,17.28257073
133,-91342.94737,PH201700000133,121.0276692,17.32740004
134,17766.26087,PH201700000134,121.4343565,17.40417809
135,-105652.15,PH201700000135,121.2568586,17.49614744
136,-27165.09091,PH201700000136,121.4625853,17.62560632
137,35590.96,PH201700000137,121.4331535,17.49312758
138,14379.84,PH201700000138,121.4425739,17.40735605
139,-31467.80952,PH201700000139,121.4727107,17.46552181
140,-20202.88462,PH201700000140,121.0974921,17.02518273
141,-66567.5,PH201700000141,121.0167577,17.0404978
142,-88852.30769,PH201700000142,121.398117,17.20112271
143,-20933.61905,PH201700000143,120.8780344,17.00001049
144,-8124.653846,PH201700000144,120.8645238,16.85076679
145,1876.125,PH201700000145,120.9025397,17.11406516
146,-16609.05556,PH201700000146,121.1555857,17.09258172
147,-82420.61538,PH201700000147,121.4111187,17.19964543
148,-50856.23077,PH201700000148,121.2665506,17.07489491
149,-43846.5,PH201700000149,120.8766689,17.04964778
150,-21690.1,PH201700000150,120.8660257,16.93641571
151,-10871.52174,PH201700000151,120.8432713,16.89159998
152,115677,PH201700000152,125.4922714,8.966637765
153,-3334.833333,PH201700000153,125.5179898,8.975712719
154,23845.94118,PH201700000154,125.61305,8.954348641
155,35008.82353,PH201700000155,125.5016636,8.972102065
156,75826.10526,PH201700000156,125.5847382,8.941186028
157,44885.68421,PH201700000157,125.5452759,8.969490507
158,30783.55556,PH201700000158,125.5312202,8.949528609
159,-65067,PH201700000159,125.5895566,8.805016948
160,2017.26087,PH201700000160,125.5347237,9.167938905
161,-52344.21739,PH201700000161,125.5615995,9.147186208
162,-44459.91304,PH201700000162,125.5966606,9.086979296
163,37682.15385,PH201700000163,125.4163109,8.973888486
164,-24920.625,PH201700000164,125.2961252,8.932035009
165,-58230.6087,PH201700000165,125.6599739,8.733250047
166,28738.72727,PH201700000166,125.5589227,9.056487372
167,-40092.84,PH201700000167,125.5433514,9.080188399
168,-66313.2,PH201700000168,125.5603892,9.251611989
169,88146.16667,PH201700000169,125.3406955,8.969577191
170,-30556.95455,PH201700000170,0,0
171,-58967.86364,PH201700000171,125.5956864,8.72223063
172,-25267.875,PH201700000172,125.8587242,8.486732387
173,-49397.85714,PH201700000173,125.7722539,8.454416638
174,-70209.5,PH201700000174,125.8500563,8.878139252
175,-66833.24,PH201700000175,125.800041,8.192685858
176,-37525.84,PH201700000176,126.0063518,8.08663726
177,-90917.04545,PH201700000177,125.916773,8.036366926
178,-13688.19231,PH201700000178,125.7516663,8.705670694
179,-89479.30435,PH201700000179,125.7964952,8.416862608
180,-84832.16667,PH201700000180,125.7988554,8.390995873
181,40192.125,PH201700000181,126.0042351,8.390670922
182,42234.36,PH201700000182,0,0
183,-103741.0952,PH201700000183,125.940243,8.114694409
184,-20564.32,PH201700000184,125.5516202,10.31326244
185,16875,PH201700000185,125.5793974,10.01282411
186,-42180.07692,PH201700000186,0,0
187,-49910.70588,PH201700000187,125.5854376,10.08737772
188,41035.56522,PH201700000188,125.5717336,10.00840293
189,-40840.79167,PH201700000189,125.552784,9.948016176
190,-15624.95238,PH201700000190,125.550042,10.17697719
191,2995.73913,PH201700000191,125.6012386,9.997643184
192,-63723.08,PH201700000192,0,0
193,-3157.35,PH201700000193,125.5979257,10.06729423
194,-80046.53846,PH201700000194,125.5074832,10.11075722
195,35126.05263,PH201700000195,0,0
196,71349.03846,PH201700000196,125.4902076,9.792564909
197,31037.45833,PH201700000197,125.4940324,9.763683301
198,-38080.03704,PH201700000198,125.5211267,9.748681402
199,-36636.17391,PH201700000199,126.105683,9.889792973
200,-28877.83333,PH201700000200,125.5657541,9.54161862
201,-22545.84615,PH201700000201,125.5891447,9.697392177
202,76361.24138,PH201700000202,125.495246,9.788898141
203,24731.16,PH201700000203,125.4668353,9.796027566
204,-17016.86957,PH201700000204,126.1231012,9.772282743
205,23166.5,PH201700000205,125.558358,9.540866332
206,-15441.69231,PH201700000206,125.5130243,9.620309417
207,-46505.25,PH201700000207,125.7627236,9.487204544
208,-3415.916667,PH201700000208,126.2304493,9.016525674
209,-34717.5,PH201700000209,125.9735215,8.914437201
210,-14565.89474,PH201700000210,126.3129061,8.890592738
211,89604.58333,PH201700000211,126.3469142,8.17414178
212,-56128.84,PH201700000212,126.1158049,8.69415165
213,-78757.85714,PH201700000213,126.3387335,8.501719891
214,15775.35,PH201700000214,126.2076102,9.043432802
215,-58412.04348,PH201700000215,126.0340559,9.209562286
216,-41202.7,PH201700000216,126.2775022,8.909114065
217,62558,PH201700000217,126.1245378,8.533575599
218,-53293.33333,PH201700000218,126.2390843,8.501766643
219,-99744.25,PH201700000219,126.2857347,8.423983612
220,97456.46667,PH201700000220,121.0788834,14.75146029
221,94523.75,PH201700000221,121.0465254,14.7587695
222,66907.2381,PH201700000222,121.0139695,14.74523638
223,78759.3,PH201700000223,121.0486603,14.78068466
224,62314.7,PH201700000224,121.0305945,14.74435457
225,104213.5,PH201700000225,121.0065394,14.68547515
226,112627.9048,PH201700000226,120.9671887,14.63527924
227,40275.78261,PH201700000227,120.9823082,14.65345745
228,49376.92,PH201700000228,120.9615108,14.674093
229,92028.72727,PH201700000229,120.9359906,14.67540592
230,76162.54545,PH201700000230,120.9599135,14.68613838
231,91283.9,PH201700000231,120.9514991,14.6692463
232,95737.25,PH201700000232,120.9538649,14.66146346
233,65037,PH201700000233,120.9733341,14.68266942
234,36266.15,PH201700000234,120.9906719,14.66416257
235,47710.2,PH201700000235,120.9688454,14.67412507
236,192056.9412,PH201700000236,120.9933309,14.45348265
237,75724.8,PH201700000237,120.986407,14.46328711
238,59145.10526,PH201700000238,120.9945742,14.45976533
239,48726,PH201700000239,120.989687,14.46639231
240,169458.3333,PH201700000240,121.0222735,14.42834366
241,74179.2,PH201700000241,121.0310128,14.42535682
242,150971.0625,PH201700000242,0,0
243,47736.07143,PH201700000243,121.0135944,14.43233412
244,93716.05263,PH201700000244,121.0366366,14.5504599
245,213721.3846,PH201700000245,121.0223457,14.49794791
246,144913.6,PH201700000246,121.0230527,14.54425588
247,141029.5263,PH201700000247,120.9973892,14.57099141
248,139322.3,PH201700000248,121.0575246,14.57011436
249,129951.7895,PH201700000249,121.073434,14.55836619
250,65804.63158,PH201700000250,121.0396237,14.5577622
251,109791.8696,PH201700000251,121.0693505,14.53738592
252,173889.75,PH201700000252,121.0396516,14.5730867
253,195758.7273,PH201700000253,121.0677558,14.56473191
254,52832.08696,PH201700000254,121.0429338,14.58088499
255,77032.1,PH201700000255,121.0402079,14.58586701
256,135271.4545,PH201700000256,121.0433551,14.58559159
257,122731.4667,PH201700000257,121.0286276,14.58460009
258,136444.6316,PH201700000258,121.0212421,14.58940146
259,69746.5,PH201700000259,121.0391691,14.57525967
260,122024.24,PH201700000260,120.9676286,14.63059122
261,92997.4,PH201700000261,120.9645644,14.60845393
262,140020.3684,PH201700000262,120.9858947,14.61513569
263,114476.4,PH201700000263,120.9974028,14.60243636
264,72425.26087,PH201700000264,120.9949467,14.59605663
265,168446.5294,PH201700000265,121.0196785,14.59054483
266,96009.35,PH201700000266,121.0135542,14.59343996
267,131238.4615,PH201700000267,121.0060921,14.58948177
268,159476.3125,PH201700000268,121.1028516,14.66382665
269,143001.1538,PH201700000269,121.1165077,14.63930374
270,133261.35,PH201700000270,121.117037,14.66089951
271,80809.33333,PH201700000271,121.1083157,14.67551595
272,146639.1765,PH201700000272,121.091988,14.64646694
273,117078.8421,PH201700000273,121.0848737,14.63652062
274,94995.83333,PH201700000274,121.0957223,14.64161442
275,86658.68421,PH201700000275,121.0964017,14.6526113
276,48097.9,PH201700000276,121.046738,14.42798881
277,220884.25,PH201700000277,121.0335926,14.43522268
278,64009.68421,PH201700000278,121.0343817,14.42839382
279,21589.8,PH201700000279,121.0563776,14.41233642
280,110762.7,PH201700000280,121.0361247,14.39446721
281,67430.2381,PH201700000281,121.0310048,14.40856493
282,119871.25,PH201700000282,121.0545906,14.40099107
283,71075.26087,PH201700000283,121.0303044,14.38499496
284,61016.47368,PH201700000284,120.9391813,14.67785368
285,-8930.269231,PH201700000285,120.9374942,14.66891853
286,107877.9091,PH201700000286,120.950366,14.66419136
287,15245.34783,PH201700000287,120.929347,14.67993469
288,61988.95455,PH201700000288,120.9489487,14.65938872
289,86043.41176,PH201700000289,120.9558484,14.64495776
290,18957.05,PH201700000290,120.9595413,14.63771314
291,12948.41667,PH201700000291,120.9595215,14.65162211
292,186924.4667,PH201700000292,121.009365,14.49883362
293,85412.5,PH201700000293,121.0182231,14.48087102
294,61425.05,PH201700000294,120.9997421,14.51902575
295,78821.57143,PH201700000295,120.9955824,14.49524008
296,181234.7778,PH201700000296,121.0190652,14.49010721
297,97139.83333,PH201700000297,121.0312689,14.47268006
298,57693.05,PH201700000298,121.0357055,14.47380809
299,87002.7,PH201700000299,121.0401882,14.4603909
300,33595.61905,PH201700000300,121.0061474,14.54912491
302,67546.125,PH201700000302,120.9853994,14.56272268
303,76900.57143,PH201700000303,120.9982592,14.54672635
304,96854.21053,PH201700000304,120.9986508,14.52896846
305,66771.65,PH201700000305,121.0308581,14.51026378
306,80576.88889,PH201700000306,121.0085564,14.52142909
307,24905.42857,PH201700000307,121.0050202,14.53501278
308,128042.5,PH201700000308,121.1159644,14.57236385
309,107454.1,PH201700000309,121.1011256,14.63287492
310,67253.52632,PH201700000310,121.0980674,14.58151016
311,179971.55,PH201700000311,121.0855391,14.60581154
312,140285.8947,PH201700000312,121.0849195,14.57068118
313,104759.1,PH201700000313,121.0864733,14.56358668
314,85594.65217,PH201700000314,121.0839872,14.560075
315,83715.94737,PH201700000315,121.1064961,14.54076724
316,109741.95,PH201700000316,121.0614291,14.55251835
317,32781.47619,PH201700000317,121.063759,14.54562374
318,100814,PH201700000318,121.073048,14.54068345
319,174745.375,PH201700000319,121.0592469,14.72332345
320,188874,PH201700000320,121.0473337,14.69511834
321,76981.68182,PH201700000321,121.0917619,14.69739279
322,173558.5556,PH201700000322,121.0246643,14.67525257
323,34230.11111,PH201700000323,121.0757372,14.68246531
324,37726.45,PH201700000324,121.011728,14.65422914
325,147935.7857,PH201700000325,121.0264619,14.62615576
326,71052.73684,PH201700000326,121.0149489,14.61278117
327,96361.70833,PH201700000327,121.0481098,14.60302585
328,138830.6667,PH201700000328,121.0393334,14.59898253
329,74816.08696,PH201700000329,121.0288542,14.60562192
330,175912.4444,PH201700000330,121.0662866,14.54285807
331,166948.4444,PH201700000331,121.0506234,14.52281123
332,107424.8696,PH201700000332,121.0545795,14.51460525
333,106643.2273,PH201700000333,121.0234479,14.52525322
334,88749.10526,PH201700000334,121.0561176,14.50734107
335,128693.5556,PH201700000335,121.0514009,14.52113947
336,84927.15,PH201700000336,121.0400939,14.49008924
337,86657.09091,PH201700000337,121.056189,14.48168575
338,102632.7619,PH201700000338,120.9928596,14.68725057
339,66962.44444,PH201700000339,120.9854622,14.73604966
340,100073.8095,PH201700000340,120.975939,14.71770714
341,69558.66667,PH201700000341,120.9845463,14.72860386
342,113518.6364,PH201700000342,121.0007973,14.68353134
343,123472,PH201700000343,120.953499,14.71516646
344,63415,PH201700000344,120.9931677,14.66759688
345,62687.45833,PH201700000345,120.9686702,14.68377485
346,33453.95238,PH201700000346,122.9607929,10.81282275
347,-20544.3,PH201700000347,123.042812,10.58978789
348,-17146.83333,PH201700000348,123.4641656,10.8838242
349,-23546.8,PH201700000349,122.4473053,9.814702236
350,-55198.77273,PH201700000350,122.8562278,10.28143822
351,-58230.91667,PH201700000351,123.0157252,10.36527021
352,-30308.625,PH201700000352,123.0510347,10.82515688
353,-64673.63636,PH201700000353,123.5124406,10.88493062
354,-164734.913,PH201700000354,123.1990425,10.55760506
355,1749.916667,PH201700000355,122.9472854,10.58944199
356,71298.91304,PH201700000356,122.4443559,9.751708916
357,-51819.68,PH201700000357,122.924105,10.48468096
358,156897.0625,PH201700000358,122.9876579,10.66673708
359,-19604.78261,PH201700000359,123.0531186,10.67285866
360,3223.478261,PH201700000360,122.9564983,10.66298644
361,52849.70588,PH201700000361,123.0191047,10.65220124
362,125271.9286,PH201700000362,122.9565072,10.62951921
363,29162.33333,PH201700000363,122.945956,10.65794668
364,43582.44444,PH201700000364,122.9098515,10.60045562
365,-17337.93333,PH201700000365,122.9704283,10.60745892
366,91534.76923,PH201700000366,123.0294895,10.67204646
367,147047.1667,PH201700000367,122.9937771,10.67438936
368,82210.06667,PH201700000368,122.9701125,10.68769401
369,2366.25,PH201700000369,122.9789138,10.64571575
370,154762.5,PH201700000370,122.9632334,10.6494944
371,-57168.88235,PH201700000371,123.0134104,10.62021047
372,3586.571429,PH201700000372,122.9405053,10.62149011
373,34206.5,PH201700000373,122.9335025,10.66155301
374,11606.47619,PH201700000374,123.1132876,9.60961404
375,29064,PH201700000375,123.0749091,9.573378901
376,-51099.56522,PH201700000376,123.0703608,9.526569864
377,94323.26316,PH201700000377,123.3043062,9.309553829
378,-55253.77273,PH201700000378,122.9925873,9.070603388
379,-25044,PH201700000379,123.2614205,9.222964344
380,-22097.2381,PH201700000380,123.1690442,9.469223226
381,-61138.61905,PH201700000381,123.3155284,10.27438613
382,-131010.1053,PH201700000382,123.09779,10.04239389
383,41157,PH201700000383,122.797946,9.368393158
384,-15531.28571,PH201700000384,123.0604187,9.056044603
385,-108132.2857,PH201700000385,123.0730306,9.203045706
386,33653,PH201700000386,120.5645423,18.27189206
387,35672.56,PH201700000387,120.5685064,18.2021948
388,32203.46154,PH201700000388,120.6911128,18.07391419
389,50831.33333,PH201700000389,120.5102032,18.06101651
390,73691.28,PH201700000390,120.6630737,18.15569417
391,23821.47619,PH201700000391,120.8099586,18.59806947
392,129365.1304,PH201700000392,120.5625446,18.06443729
393,23761.625,PH201700000393,120.6866335,18.00554369
394,117566.5217,PH201700000394,120.6901708,18.07191161
395,18831.04,PH201700000395,120.5414374,18.19151451
396,9332.074074,PH201700000396,120.4796278,18.06888927
397,79277.15385,PH201700000397,120.5706607,18.05788808
398,68617.36364,PH201700000398,120.4210093,17.65270153
399,29328.54545,PH201700000399,120.5098058,17.4858074
400,-23625.35,PH201700000400,120.5291941,17.85581892
401,67406.08,PH201700000401,120.4560765,17.21190432
402,18617.96,PH201700000402,120.4835352,17.10038257
403,52240.375,PH201700000403,120.4272064,17.17123178
404,41964.04348,PH201700000404,0,0
405,138422.8333,PH201700000405,120.3951326,17.57603656
406,102529.2632,PH201700000406,120.3963411,17.55460912
407,36888.45455,PH201700000407,120.520291,17.14116287
408,34265.375,PH201700000408,120.5108646,17.24190949
409,-10979.05263,PH201700000409,120.7394532,16.93732787
410,70591.86364,PH201700000410,120.4332591,16.82419615
411,-3083.76,PH201700000411,120.3942319,16.60477344
412,-28456,PH201700000412,120.4251297,16.61277461
413,7930.277778,PH201700000413,0,0
414,20654.6087,PH201700000414,120.333674,16.56806146
415,19587.52174,PH201700000415,0,0
416,111760.25,PH201700000416,120.30959,16.60827745
417,3551.458333,PH201700000417,120.4117647,16.86933611
418,103794.087,PH201700000418,120.3086041,16.63663177
419,-76698,PH201700000419,120.3783111,16.80469244
420,4724,PH201700000420,120.4007577,16.5117162
421,25483.33333,PH201700000421,120.4207998,16.43759765
422,51619.21739,PH201700000422,120.4605948,16.06313826
423,2734.5,PH201700000423,120.6688959,16.03131025
424,18880.34615,PH201700000424,120.4165967,16.10290334
425,103751.7368,PH201700000425,119.9881765,16.16149302
426,36874.77273,PH201700000426,120.3564937,16.08236642
427,7844.777778,PH201700000427,120.3151368,16.01183265
